,Unnamed: 0,Title,Year,Director,Writer,Actors,Genre,Language,Country,Runtime,BoxOffice
11,14,The Red Turtle,2016,Michael Dudok de Wit,"Michael Dudok de Wit (story), Pascale Ferran (screenplay), Michael Dudok de Wit (screenplay)","Emmanuel Garijo, Tom Hudson, Baptiste Goy, Axel Devillers",Animation,None,France,80,920057
13,16,Heal the Living,2016,Katell Quillevere,"Maylis De Kerangal (novel), Katell Quillevere (screenplay), Gilles Taurand (screenplay)","Tahar Rahim, Emmanuelle Seigner, Anne Dorval, Bouli Lanners",Drama,French,France,103,3176
20,24,My Big Fat Greek Wedding 2,2016,Kirk Jones,Nia Vardalos,"Nia Vardalos, John Corbett, Michael Constantine, Lainie Kazan",Comedy,English,USA,94,52069651
30,34,Independence Day: Resurgence,2016,Roland Emmerich,"Nicolas Wright (screenplay by), James A. Woods (screenplay by), Dean Devlin (screenplay by), Roland Emmerich (screenplay by), James Vanderbilt (screenplay by), Dean Devlin (story by), Roland Emmerich (story by), Nicolas Wright (story by), James A. Woods (story by), Dean Devlin (based on characters created by), Roland Emmerich (based on characters created by)","Liam Hemsworth, Jeff Goldblum, Jessie T. Usher, Bill Pullman",Action,English,USA,120,103137295
36,40,A Cure for Wellness,2016,Gore Verbinski,"Justin Haythe (screenplay by), Justin Haythe (story by), Gore Verbinski (story by)","Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi",Drama,English,USA,146,8103139
44,49,War Dogs,2016,Todd Phillips,"Stephen Chin (screenplay), Todd Phillips (screenplay), Jason Smilovic (screenplay), Guy Lawson (Rolling Stone article ""Arms and the Dudes"")","Miles Teller, Steve Lantz, Gregg Weiner, David Packouz",Comedy,English,USA,114,43017433
77,86,Personal Shopper,2016,Olivier Assayas,Olivier Assayas,"Kristen Stewart, Lars Eidinger, Sigrid Bouaziz, Anders Danielsen Lie",Drama,English,France,105,1305195
87,97,Snowden,2016,Oliver Stone,"Kieran Fitzgerald (screenplay by), Oliver Stone (screenplay by), Luke Harding (book), Anatoly Kucherena (book)","Melissa Leo, Zachary Quinto, Joseph Gordon-Levitt, Jaymes Butler",Biography,English,France,134,21562346
92,102,Dishoom,2016,Rohit Dhawan,"Rohit Dhawan (story and screenplay), Tushar Hiranandani (story and screenplay), Hussain Dalal (dialogue)","John Abraham, Varun Dhawan, Nargis Fakhri, Jacqueline Fernandez",Action,Hindi,India,124,442299
94,105,Mr. Donkey,2016,"Lu Liu, Shen Zhou","Lu Liu, Shen Zhou","Suxi Ren, Li Da, Shuailiang Liu, Kuishan Pei",Comedy,Mandarin,China,113,356023
110,124,Gold,2016,Stephen Gaghan,"Patrick Massett, John Zinman","Matthew McConaughey, Edgar Ramirez, Bryce Dallas Howard, Corey Stoll",Adventure,English,USA,120,7222964
124,143,David Brent: Life on the Road,2016,Ricky Gervais,Ricky Gervais,"Ricky Gervais, Rob Jarvis, Abbie Murphy, Mandeep Dhillon",Comedy,English,UK,96,2348170
127,146,No Manches Frida,2016,Nacho G. Velilla,"Laurence Rosenthal (screenplay), Claudio Herrera (screenplay), Sergio Sanchez (screenplay), Bora Dagtekin (based on the film by)","Omar Chaparro, Martha Higareda, Monica Dionne, Rocio Garcia",Comedy,Spanish,USA,114,11514388
131,151,How to Let Go of the World and Love All the Things Climate Can't Change,2016,Josh Fox,Josh Fox,"Lester Brown, Ella Chou, Tim DeChristopher, Wu Di",Documentary,English,USA,127,13775
133,153,Baar Baar Dekho,2016,Nitya Mehra,"Sri Rao (story), Nitya Mehra (screenplay), Sri Rao (screenplay), Anuvab Pal (screenplay), Anvita Dutt Guptan (dialogue)","Sidharth Malhotra, Katrina Kaif, Sayani Gupta, Kirti Adarkar",Comedy,Hindi,India,141,612363
149,171,The New Year's Eve of Old Lee,2016,Qunshu Gao,Er-yang Luo (screenplay),"Taishen Cheng, Chengpeng Dong, Zongxiang Guan, Ming Hu",Drama,Chinese,China,106,24898
150,172,Free Fire,2016,Ben Wheatley,"Amy Jump (screenplay by), Ben Wheatley (screenplay by)","Enzo Cilenti, Sam Riley, Michael Smiley, Brie Larson",Action,English,UK,91,1798483
152,175,The Eyes of My Mother,2016,Nicolas Pesce,Nicolas Pesce,"Diana Agostini, Olivia Bond, Will Brill, Joey Curtis-Green",Drama,English,USA,76,25981
157,181,Hunt for the Wilderpeople,2016,Taika Waititi,"Taika Waititi (screenplay), Barry Crump (based on the book ""Wild Pork and Watercress"" written by), Te Arepa Kahi (additional writing)","Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House",Adventure,English,New Zealand,101,5202582
165,191,Sleight,2016,J.D. Dillard,"J.D. Dillard, Alex Theurer","Jacob Latimore, Seychelle Gabriel, Storm Reid, Donzaleigh Abernathy",Action,English,USA,89,3847290
172,200,Always Shine,2016,Sophia Takal,Lawrence Michael Levine,"Mackenzie Davis, Caitlin FitzGerald, Lawrence Michael Levine, Khan Baykal",Drama,English,USA,85,11891
188,217,Saala Khadoos,2016,Sudha Kongara,"Sudha Kongara (script), Sudha Kongara (story and screenplay), Sudha Kongara, Madhavan (screenplay and dialogue), Arun Matheshwaran (dialogue), Manoj Tripathi (hindi dialogue), Amitabh Verma (hindi dialogue)","Madhavan, Ritika Singh, Mumtaz Sorcar, Nassar",Action,Hindi,India,109,76931
197,227,Brave New Jersey,2016,Jody Lambert,"Michael Dowling, Jody Lambert","Anna Camp, Sam Jaeger, Heather Burns, Evan Jonigkeit",Comedy,English,USA,86,14105
208,238,A United Kingdom,2016,Amma Asante,"Guy Hibbert (screenplay by), Susan Williams (based upon the book 'Colour Bar' by)","David Oyelowo, Rosamund Pike, Tom Felton, Jack Davenport",Biography,Tswana,Czech Republic,111,3901302
212,242,AmeriGeddon,2016,Mike Norris,Gary Heavin,"Aliya Astaphan, Rich Bentz, Giovannie Cruz, Jonny Cruz",Action,English,USA,90,316554
218,249,Nerve,2016,"Henry Joost, Ariel Schulman","Jessica Sharzer (screenplay by), Jeanne Ryan (based on the novel by)","Emma Roberts, Dave Franco, Emily Meade, Miles Heizer",Action,English,USA,96,38562379
226,257,Blair Witch,2016,Adam Wingard,Simon Barrett,"James Allen McCune, Callie Hernandez, Corbin Reid, Brandon Scott",Horror,English,Canada,89,20747013
230,264,Dean,2016,Demetri Martin,Demetri Martin,"Asif Ali, Jesaiah Baer, Kathrine Barnes, H. Jon Benjamin",Comedy,English,USA,94,248849
231,265,One Week and a Day,2016,Asaph Polonsky,Asaph Polonsky,"Sharon Alexander, Shai Avivi, Tomer Capon, Evgenia Dodina",Comedy,Hebrew,Israel,98,41528
235,269,Rogue One: A Star Wars Story,2016,Gareth Edwards,"Chris Weitz (screenplay by), Tony Gilroy (screenplay by), John Knoll (story by), Gary Whitta (story by), George Lucas (based on characters created by)","Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen",Action,English,USA,133,532171696
252,290,The Bounce Back,2016,Youssef Delara,"Victor Teran, Youssef Delara, Staci Robinson","Shemar Moore, Nadine Velazquez, Bill Bellamy, Nadja Alaya",Comedy,English,USA,104,320676
260,298,Phantom of the Theatre,2016,Wai Man Yip,"Jingling Li, Manfred Wong, Mei Yuan Yang","Ruby Lin, Tony Yo-ning Yang, Simon Yam, Gangshan Jing",Fantasy,Mandarin,China,103,21001
269,310,Paterson,2016,Jim Jarmusch,"Jim Jarmusch, William Carlos Williams (poem), Ron Padgett (poems)","Adam Driver, Golshifteh Farahani, Nellie, Rizwan Manji",Comedy,English,France,118,2141423
272,314,From the Land of the Moon,2016,Nicole Garcia,"Milena Agus (based on the novel by), Natalie Carter (collaboration), Jacques Fieschi (adaptation), Jacques Fieschi (dialogue), Jacques Fieschi (screenplay), Nicole Garcia (adaptation), Nicole Garcia (dialogue), Nicole Garcia (screenplay)","Marion Cotillard, Alex Brendemuhl, Louis Garrel, Brigitte Rouan",Drama,French,France,120,45457
274,316,Gods of Egypt,2016,Alex Proyas,"Matt Sazama, Burk Sharpless","Brenton Thwaites, John Samaha, Courtney Eaton, Nikolaj Coster-Waldau",Action,English,USA,127,31141074
276,318,The Handmaiden,2016,Chan-wook Park,"Sarah Waters (inspired by the novel ""Fingersmith"" by), Seo-kyeong Jeong (screenplay), Chan-wook Park (screenplay)","Min-hee Kim, Tae-ri Kim, Jung-woo Ha, Jin-Woong Cho",Drama,Korean,South Korea,144,2004919
285,327,Jack Reacher: Never Go Back,2016,Edward Zwick,"Richard Wenk (screenplay), Edward Zwick (screenplay), Marshall Herskovitz (screenplay), Lee Child (book)","Tom Cruise, Cobie Smulders, Aldis Hodge, Danika Yarosh",Action,English,China,118,58676235
313,358,The Angry Birds Movie,2016,"Clay Kaytis, Fergal Reilly","Jon Vitti (screenplay by), Mikael Hed (story by), Mikko Polla (story by), John Cohen (story by)","Jason Sudeikis, Josh Gad, Danny McBride, Maya Rudolph",Animation,English,Finland,97,107506776
317,362,Florence Foster Jenkins,2016,Stephen Frears,Nicholas Martin,"Meryl Streep, Hugh Grant, Simon Helberg, Rebecca Ferguson",Biography,English,UK,111,27370107
333,378,10 Cloverfield Lane,2016,Dan Trachtenberg,"Josh Campbell (screenplay by), Matthew Stuecken (screenplay by), Damien Chazelle (screenplay by), Josh Campbell (story by), Matthew Stuecken (story by)","John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin",Drama,English,USA,103,59481553
345,391,The Son of Joseph,2016,Eugene Green,Eugene Green (screenplay),"Victor Ezenfis, Natacha Regnier, Fabrizio Rongione, Mathieu Amalric",Drama,French,France,113,28753
351,398,Down by Love,2016,Pierre Godeau,"Pierre Godeau (adaptation), Pierre Godeau (dialogue), Pierre Godeau (screenplay), Florent Goncalves (book), Catherine Siguret (book)","Adele Exarchopoulos, Guillaume Gallienne, Stephanie Cleau, Alienor Poisson",Biography,French,France,110,390
364,412,I Called Him Morgan,2016,Kasper Collin,"Kasper Collin, Jesper Osmund (narrative consultant)","Lee Morgan, Helen Morgan, Wayne Shorter, Larry Reni Thomas",Documentary,English,Sweden,92,8544
365,413,Maudie,2016,Aisling Walsh,Sherry White,"Sally Hawkins, Ethan Hawke, Kari Matchett, Gabrielle Rose",Biography,English,Ireland,115,6139048
367,415,Julieta,2016,Pedro Almodovar,"Pedro Almodovar, Alice Munro (basado en ""Destino"",  ""Pronto"" y ""Silencio"" de)","Emma Suarez, Adriana Ugarte, Daniel Grao, Inma Cuesta",Drama,Spanish,Spain,99,1489848
372,421,I'm Not Ashamed,2016,Brian Baugh,"Philipa A. Booyens, Robin Hanley (screenwriter), Robin Hanley, Kari Redmond, Bodie Thoene (screenplay), Bodie Thoene (screenwriter), Bodie Thoene","Masey McLain, Ben Davies, Cameron McKendry, Terri Minton",Biography,English,USA,112,2080932
373,422,Frank & Lola,2016,Matthew Ross,Matthew Ross,"Michael Nyqvist, Michael Shannon, Imogen Poots, Justin Long",Crime,English,USA,88,5747
374,423,Te3n,2016,Ribhu Dasgupta,"Bijesh Jayarajan (screenplay), Geun-seop Jeong (story by: based on Korean film ""Montage""), Suresh Nair (screenplay), Ritesh Shah (dialogue)","Amitabh Bachchan, Vidya Balan, Nawazuddin Siddiqui, Mukesh Chhabra",Drama,Hindi,India,136,258066
402,453,I Am Not Your Negro,2016,Raoul Peck,"James Baldwin (writings), Raoul Peck (scenario)","Samuel L. Jackson, James Baldwin, Martin Luther King, Malcolm X",Documentary,English,Switzerland,93,7120626
405,456,Finding Dory,2016,"Andrew Stanton, Angus MacLane(co-director)","Andrew Stanton (original story by), Andrew Stanton (screenplay by), Victoria Strouse (screenplay by), Bob Peterson (additional screenplay material by), Angus MacLane (additional story material by)","Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson",Animation,English,USA,97,486292984
437,490,Southside with You,2016,Richard Tanne,Richard Tanne,"Tika Sumpter, Parker Sawyers, Vanessa Bell Calloway, Phillip Edward Van Lear",Biography,English,USA,84,6303853
441,494,Anthropoid,2016,Sean Ellis,"Sean Ellis, Anthony Frewin","Jamie Dornan, Cillian Murphy, Brian Caspe, Karel Hermanek Jr.",Biography,English,Czech Republic,120,2959288
466,524,Swiss Army Man,2016,"Dan Kwan, Daniel Scheinert","Daniel Scheinert, Dan Kwan","Paul Dano, Daniel Radcliffe, Mary Elizabeth Winstead, Antonia Ribero",Adventure,English,USA,97,4208879
474,532,The Founder,2016,John Lee Hancock,Robert Siegel,"Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini",Biography,English,USA,115,12785093
482,540,Moka,2016,Frederic Mermoud,"Tatiana De Rosnay (novel), Antonin Martin-Hilbert (dialogue), Antonin Martin-Hilbert (screenplay), Frederic Mermoud (dialogue), Frederic Mermoud (screenplay)","Emmanuelle Devos, Nathalie Baye, David Clavel, Diane Rouxel",Drama,French,Switzerland,89,126342
489,549,Miss Stevens,2016,Julia Hart,"Julia Hart, Jordan Horowitz","Lily Rabe, Timothee Chalamet, Lili Reinhart, Anthony Quintal",Comedy,English,USA,86,3858
493,553,The Monster,2016,Bryan Bertino,Bryan Bertino,"Zoe Kazan, Ella Ballentine, Aaron Douglas, Christine Ebadi",Drama,English,USA,91,12133
506,568,Sully,2016,Clint Eastwood,"Todd Komarnicki, Chesley Sullenberger (based on the book ""Highest Duty"" by), Jeffrey Zaslow (based on the book ""Highest Duty"" by)","Tom Hanks, Aaron Eckhart, Valerie Mahaffey, Delphi Harrington",Biography,English,USA,96,125065700
513,575,Pride and Prejudice and Zombies,2016,Burr Steers,"Burr Steers (screenplay), Jane Austen (Quirk Books novel), Seth Grahame-Smith (Quirk Books novel)","Lily James, Sam Riley, Bella Heathcote, Ellie Bamber",Action,English,USA,108,8639097
539,603,When the Bough Breaks,2016,Jon Cassar,"Jack Olsen (screenplay), Jack Olsen","Morris Chestnut, Regina Hall, Romany Malco, Michael Kenneth Williams",Crime,English,USA,107,29740655
549,615,Barbershop: The Next Cut,2016,Malcolm D. Lee,"Kenya Barris, Tracy Oliver, Mark Brown (characters)","Ice Cube, Cedric the Entertainer, Regina Hall, Sean Patrick Thomas",Comedy,English,USA,111,54014580
551,617,Housefull 3,2016,"Sajid, Farhad Samji","K. Subhash (story), Farhad Samji (screenplay), Sajid (screenplay), Rajan Agarwal (additional screenplay), Farhad Samji (dialogue), Sajid (dialogue), Jitendra Parmar (story writer)","Akshay Kumar, Abhishek Bachchan, Riteish Deshmukh, Jackie Shroff",Action,Hindi,India,140,1157163
562,631,Don't Call Me Son,2016,Anna Muylaert,Anna Muylaert (screenplay),"Naomi Nero, Daniel Botelho, Dani Nefussi, Matheus Nachtergaele",Drama,Portuguese,Brazil,82,11678
564,633,Term Life,2016,Peter Billingsley,"Andy Lieberman (screenplay by), Andy Lieberman (graphic novel), Nick Thornborrow (graphic novel)","Vince Vaughn, Hailee Steinfeld, Bill Paxton, Jonathan Banks",Crime,English,USA,93,13040
566,635,Fire at Sea,2016,Gianfranco Rosi,"Gianfranco Rosi, Carla Cattani (idea)","Samuele Pucillo, Mattias Cucina, Samuele Caruana, Pietro Bartolo",Documentary,Italian,Italy,114,114535
