,Actors,BoxOffice,Country,Director,Genre,Label,Language,Runtime,Title,Unnamed: 0,Writer,Year
0,"Alfre Woodard, Sanaa Lathan, Rockmond Dunbar, KaDee Strickland",37019849.0,USA,Tyler Perry,Drama,0,English,111.0,The Family That Preys,0.0,Tyler Perry,2008.0
1,"Elizabeth Banks, Seth Rogen, Craig Robinson, Gerry Bednob",31382624.0,USA,Kevin Smith,Comedy,0,English,101.0,Zack and Miri Make a Porno,1.0,Kevin Smith,2008.0
2,"Sanjay Dutt, Javed Jaffrey, Riteish Deshmukh, Mallika Sherawat",543322.0,India,Indra Kumar,Comedy,1,Hindi,138.0,Double Dhamaal,2.0,"Farhad Bhiwandiwala (dialogue), Tushar Hiranandani (story & screenplay), Sajid (dialogue)",2011.0
3,"Jenn Harris, Anna Margaret Hollyman, Matthew Wilkas, Christian Coulson",8387.0,USA,Jonathan Lisecki,Comedy,1,English,85.0,Gayby,3.0,Jonathan Lisecki,2012.0
4,"Amitabh Bachchan, Asin, Ajay Devgn, Abhishek Bachchan",1216258.0,India,Rohit Shetty,Action,1,Hindi,155.0,Bol Bachchan,4.0,"Yunus Sajawal (screenplay), Sajid (dialogue), Farhad Samji (dialogue)",2012.0
5,"Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove",368049635.0,USA,"Pierre Coffin, Chris Renaud",Animation,0,English,98.0,Despicable Me 2,5.0,"Cinco Paul, Ken Daurio",2013.0
6,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt",129477447.0,USA,Steven Spielberg,Biography,0,English,150.0,Lincoln,6.0,"Tony Kushner (screenplay by), Doris Kearns Goodwin (based in part on the book ""Team of Rivals: The Political Genius of Abraham Lincoln"" by)",2012.0
<<<<<<< HEAD
7,"Apl.de.Ap, Dan Auerbach, Scott Barretta, Adam Beach",222370.0,Canada,"Catherine Bainbridge, Alfonso Maiorana(co-director)",Documentary,1,English,103.0,Rumble: The Indians Who Rocked The World,9.0,"Catherine Bainbridge, Alfonso Maiorana",2017.0
8,"Richard Philipps, Fernanda Dorogi, Kriszta Dorogi, Daniel Mogacs",200000.0,UK,Andrey Konchalovskiy,Action,1,English,110.0,The Nutcracker in 3D,10.0,"Andrey Konchalovskiy (screenplay), Chris Solimine (screenplay)",2010.0
9,"James Marsden, Nick Nolte, Christina Applegate, Katt Williams",43400000.0,USA,Brad Peyton,Action,0,English,82.0,Cats & Dogs: The Revenge of Kitty Galore,11.0,"Ron J. Friedman, Steve Bencich, John Requa (characters), Glenn Ficarra (characters)",2010.0
10,"Agathe Bonitzer, Mahmud Shalaby, Hiam Abbass, Riff Cohen",2531.0,France,Thierry Binisti,Drama,1,Hebrew,100.0,A Bottle in the Gaza Sea,12.0,"Thierry Binisti, Valerie Zenatti",2010.0
11,"Emmanuel Garijo, Tom Hudson, Baptiste Goy, Axel Devillers",920057.0,France,Michael Dudok de Wit,Animation,1,None,80.0,The Red Turtle,14.0,"Michael Dudok de Wit (story), Pascale Ferran (screenplay), Michael Dudok de Wit (screenplay)",2016.0
12,"Alex Roe, Jessica Rothe, Abby Ryder Fortson, Travis Tritt",16174498.0,USA,Bethany Ashton Wolf,Drama,0,English,108.0,Forever My Girl,15.0,"Bethany Ashton Wolf (screenplay by), Heidi McLaughlin (based on the novel by)",2018.0
13,"Tahar Rahim, Emmanuelle Seigner, Anne Dorval, Bouli Lanners",3176.0,France,Katell Quillevere,Drama,1,French,103.0,Heal the Living,16.0,"Maylis De Kerangal (novel), Katell Quillevere (screenplay), Gilles Taurand (screenplay)",2016.0
14,"Lucy Hale, Roger Jackson, Shenae Grimes-Beech, Dane Farwell",38176892.0,USA,Wes Craven,Horror,0,English,111.0,Scream 4,17.0,Kevin Williamson,2011.0
15,"John Jarratt, Ryan Corr, Shannon Ashlyn, Philippe Klaus",3448656.0,Australia,Greg McLean,Action,1,English,106.0,Wolf Creek 2,18.0,"Greg McLean, Aaron Sterns",2013.0
16,"Andie MacDowell, Aidan Quinn, Ryan Merriman, Anessa Ramsey",399611.0,USA,Rick Bieber,Biography,1,English,90.0,The 5th Quarter,19.0,Rick Bieber,2010.0
17,"Gitte Witt, Christopher Abbott, Stephanie Ellis, Brady Corbet",2636.0,Norway,Mona Fastvold,Drama,1,English,91.0,The Sleepwalker,21.0,"Brady Corbet, Mona Fastvold",2014.0
18,"Rachel Weisz, Vanessa Redgrave, Monica Bellucci, David Strathairn",900000.0,Canada,Larysa Kondracki,Action,1,English,112.0,The Whistleblower,22.0,"Larysa Kondracki, Eilis Kirwan",2010.0
19,"Jackie Earle Haley, Kyle Gallner, Rooney Mara, Katie Cassidy",63100000.0,USA,Samuel Bayer,Crime,0,English,95.0,A Nightmare on Elm Street,23.0,"Wesley Strick (screenplay), Eric Heisserer (screenplay), Wesley Strick (story), Wes Craven (characters)",2010.0
20,"Nia Vardalos, John Corbett, Michael Constantine, Lainie Kazan",52069651.0,USA,Kirk Jones,Comedy,0,English,94.0,My Big Fat Greek Wedding 2,24.0,Nia Vardalos,2016.0
21,"Ryan Gosling, Dave Bautista, Robin Wright, Mark Arnold",91800042.0,USA,Denis Villeneuve,Drama,0,English,164.0,Blade Runner 2049,25.0,"Hampton Fancher (screenplay by), Michael Green (screenplay by), Hampton Fancher (story by), Philip K. Dick (based on characters from the novel ""Do Androids Dream of Electric Sheep?"" by)",2017.0
22,"Kirin Kiki, Masatoshi Nagase, Kyara Uchida, Miki Mizuno",123231.0,Japan,Naomi Kawase,Drama,1,Japanese,113.0,Sweet Bean,26.0,"Durian Sukegawa (based on the novel by), Naomi Kawase (screenplay)",2015.0
23,"Kevin Sorbo, Kristy Swanson, John Ratzenberger, Debby Ryan",814348.0,USA,Dallas Jenkins,Drama,1,English,111.0,What If...,27.0,"Chuck Konzelman, Andrea Gyertson Nasfell, Cary Solomon",2010.0
24,"Amanda Seyfried, Marcia DeBonis, Gael Garcia Bernal, Giordano Formenti",53021560.0,USA,Gary Winick,Adventure,0,English,105.0,Letters to Juliet,28.0,"Jose Rivera, Tim Sullivan",2010.0
25,"Jung-min Hwang, Yunjin Kim, Dal-su Oh, Jin-young Jung",2300121.0,South Korea,JK Youn,Drama,1,Korean,126.0,Ode to My Father,29.0,Su-jin Park,2014.0
26,"George Clooney, Irina Bjorklund, Lars Hjelm, Bjorn Granath",35596227.0,USA,Anton Corbijn,Crime,0,English,105.0,The American,30.0,"Rowan Joffe (screenplay), Martin Booth (novel)",2010.0
27,"Ayako Fujitani, Ryo Kase, Ayumi Ito, Nao Ohmori",300000.0,France,"Joon-ho Bong, Leos Carax, Michel Gondry",Comedy,1,Japanese,112.0,Tokyo!,31.0,"Gabrielle Bell (graphic novel ""Cecil and Jordan in New York""), Joon-ho Bong, Leos Carax, Michel Gondry",2008.0
28,"Alan Cumming, Evan Rachel Wood, Elijah Kelley, Meredith Anne Bull",10201634.0,USA,Gary Rydstrom,Animation,0,English,99.0,Strange Magic,32.0,"David Berenbaum (screenplay by), Irene Mecchi (screenplay by), Gary Rydstrom (screenplay by), George Lucas (story by)",2015.0
29,"Bill Nighy, Emily Blunt, Rupert Grint, Rupert Everett",117190.0,UK,Jonathan Lynn,Action,1,English,98.0,Wild Target,33.0,"Lucinda Coxon (screenplay), Pierre Salvadori (film ""Cible emouvante"")",2010.0
30,"Liam Hemsworth, Jeff Goldblum, Jessie T. Usher, Bill Pullman",103137295.0,USA,Roland Emmerich,Action,0,English,120.0,Independence Day: Resurgence,34.0,"Nicolas Wright (screenplay by), James A. Woods (screenplay by), Dean Devlin (screenplay by), Roland Emmerich (screenplay by), James Vanderbilt (screenplay by), Dean Devlin (story by), Roland Emmerich (story by), Nicolas Wright (story by), James A. Woods (story by), Dean Devlin (based on characters created by), Roland Emmerich (based on characters created by)",2016.0
31,"Rachel Weisz, Adrien Brody, Mark Ruffalo, Rinko Kikuchi",3479844.0,USA,Rian Johnson,Action,1,English,114.0,The Brothers Bloom,35.0,Rian Johnson,2008.0
32,"Ji-hyun Jun, Allison Miller, Liam Cunningham, JJ Feild",192005.0,Hong Kong,Chris Nahon,Action,1,English,91.0,Blood: The Last Vampire,36.0,"Chris Chow (screenplay), Kenji Kamiyama (character), Katsuya Terada (character)",2009.0
33,"Dominic Cooper, Ludivine Sagnier, Raad Rawi, Philip Quast",1357042.0,Belgium,Lee Tamahori,Biography,1,English,109.0,The Devil's Double,37.0,"Michael Thomas, Latif Yahia (books), Emjay Rechsteiner (story)",2011.0
34,"Trombone Shorty, Rebecca Bloom, Anastasia Bredikhina, Francesca Capaldi",106132048.0,USA,Steve Martino,Animation,0,English,88.0,The Peanuts Movie,38.0,"Craig Schulz (screenplay by), Bryan Schulz (screenplay by), Cornelius Uliano (screenplay by), Charles M. Schulz (based upon the comic strip by)",2015.0
35,"Diljit Dosanjh, Surveen Chawla, B.N. Sharma, Upasna Singh",171610.0,India,Anurag Singh,Comedy,1,Panjabi,141.0,Disco Singh,39.0,Anurag Singh,2014.0
36,"Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi",8103139.0,USA,Gore Verbinski,Drama,0,English,146.0,A Cure for Wellness,40.0,"Justin Haythe (screenplay by), Justin Haythe (story by), Gore Verbinski (story by)",2016.0
37,"Akshay Kumar, Saif Ali Khan, Kareena Kapoor, Anil Kapoor",428923.0,India,Vijay Krishna Acharya,Action,1,Hindi,120.0,Tashan,42.0,"Vijay Krishna Acharya (story), Vijay Krishna Acharya (screenplay), Vijay Krishna Acharya (dialogue)",2008.0
38,"Louis-Do de Lencquesaing, Benjamin Utzerath, Vincent Nemeth, Johanna Korthals Altes",290055.0,France,Aleksandr Sokurov,Drama,1,Russian,88.0,Francofonia,43.0,Aleksandr Sokurov,2015.0
39,"Keanu Reeves, Riccardo Scamarcio, Ian McShane, Ruby Rose",91970516.0,USA,Chad Stahelski,Action,0,English,122.0,John Wick: Chapter 2,44.0,"Derek Kolstad, Derek Kolstad (based on characters created by)",2017.0
40,"Julien Beramis, Marine Griset, Michel Elias, Olivier Claverie",7154.0,France,Michel Ocelot,Animation,1,French,84.0,Tales of the Night,45.0,Michel Ocelot,2011.0
41,"Vince Vaughn, Reese Witherspoon, Robert Duvall, Sissy Spacek",120100000.0,Germany,Seth Gordon,Comedy,0,English,88.0,Four Christmases,46.0,"Matt Allen (screenplay), Caleb Wilson (screenplay), Jon Lucas (screenplay), Scott Moore (screenplay), Matt Allen (story), Caleb Wilson (story)",2008.0
42,"Aarav Khanna, Chinmay Chandraunshuh, Divji Handa, Irfan Khan",6149.0,India,"Vikas Bahl, Nitesh Tiwari",Comedy,1,Hindi,135.0,Chillar Party,47.0,"Vikas Bahl (screenplay), Vijay Maurya, Nitesh Tiwari",2011.0
43,"Benoit Poelvoorde, Dany Boon, Christel Pedrinelli, Karin Viard",153494.0,France,Dany Boon,Comedy,1,French,108.0,Nothing to Declare,48.0,"Dany Boon (scenario and dialogue), Yael Boon (collaboration)",2010.0
44,"Miles Teller, Steve Lantz, Gregg Weiner, David Packouz",43017433.0,USA,Todd Phillips,Comedy,0,English,114.0,War Dogs,49.0,"Stephen Chin (screenplay), Todd Phillips (screenplay), Jason Smilovic (screenplay), Guy Lawson (Rolling Stone article ""Arms and the Dudes"")",2016.0
45,"Jessica De Gouw, Nathan Phillips, David Field, Lauren Cleary",206727.0,Australia,Zak Hilditch,Drama,1,English,87.0,These Final Hours,50.0,Zak Hilditch,2013.0
46,"Zach Gilford, Jena Malone, John Slattery, Gabrielle Union",6175.0,USA,Brian Savelson,Drama,1,English,103.0,In Our Nature,52.0,Brian Savelson,2012.0
47,"Esai Morales, Robert Salzman, Ty Jones, Harmony Santana",139013.0,USA,Rashaad Ernesto Green,Drama,1,English,86.0,Gun Hill Road,53.0,"Rashaad Ernesto Green, Zora Howard (poetry)",2011.0
48,"Reese Witherspoon, Michael Sheen, Candice Bergen, Pico Alexander",26353346.0,USA,Hallie Meyers-Shyer,Comedy,0,English,97.0,Home Again,54.0,Hallie Meyers-Shyer,2017.0
49,"Ariane Labed, Vangelis Mourikis, Evangelia Randou, Yorgos Lanthimos",12540.0,Greece,Athina Rachel Tsangari,Drama,1,Greek,97.0,Attenberg,55.0,Athina Rachel Tsangari,2010.0
