,Actors,BoxOffice,Country,Director,Genre,Label,Language,Runtime,Title,Unnamed: 0,Writer,Year
0,"Alfre Woodard, Sanaa Lathan, Rockmond Dunbar, KaDee Strickland",37019849.0,USA,Tyler Perry,Drama,1,English,111.0,The Family That Preys,0.0,Tyler Perry,2008.0
1,"Elizabeth Banks, Seth Rogen, Craig Robinson, Gerry Bednob",31382624.0,USA,Kevin Smith,Comedy,1,English,101.0,Zack and Miri Make a Porno,1.0,Kevin Smith,2008.0
2,"Sanjay Dutt, Javed Jaffrey, Riteish Deshmukh, Mallika Sherawat",543322.0,India,Indra Kumar,Comedy,0,Hindi,138.0,Double Dhamaal,2.0,"Farhad Bhiwandiwala (dialogue), Tushar Hiranandani (story & screenplay), Sajid (dialogue)",2011.0
3,"Jenn Harris, Anna Margaret Hollyman, Matthew Wilkas, Christian Coulson",8387.0,USA,Jonathan Lisecki,Comedy,0,English,85.0,Gayby,3.0,Jonathan Lisecki,2012.0
4,"Amitabh Bachchan, Asin, Ajay Devgn, Abhishek Bachchan",1216258.0,India,Rohit Shetty,Action,0,Hindi,155.0,Bol Bachchan,4.0,"Yunus Sajawal (screenplay), Sajid (dialogue), Farhad Samji (dialogue)",2012.0
5,"Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove",368049635.0,USA,"Pierre Coffin, Chris Renaud",Animation,1,English,98.0,Despicable Me 2,5.0,"Cinco Paul, Ken Daurio",2013.0
6,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt",129477447.0,USA,Steven Spielberg,Biography,1,English,150.0,Lincoln,6.0,"Tony Kushner (screenplay by), Doris Kearns Goodwin (based in part on the book ""Team of Rivals: The Political Genius of Abraham Lincoln"" by)",2012.0
7,"Richard Philipps, Fernanda Dorogi, Kriszta Dorogi, Daniel Mogacs",200000.0,UK,Andrey Konchalovskiy,Action,0,English,110.0,The Nutcracker in 3D,9.0,"Andrey Konchalovskiy (screenplay), Chris Solimine (screenplay)",2010.0
8,"James Marsden, Nick Nolte, Christina Applegate, Katt Williams",43400000.0,USA,Brad Peyton,Action,1,English,82.0,Cats & Dogs: The Revenge of Kitty Galore,10.0,"Ron J. Friedman, Steve Bencich, John Requa (characters), Glenn Ficarra (characters)",2010.0
9,"Agathe Bonitzer, Mahmud Shalaby, Hiam Abbass, Riff Cohen",2531.0,France,Thierry Binisti,Drama,0,Hebrew,100.0,A Bottle in the Gaza Sea,11.0,"Thierry Binisti, Valerie Zenatti",2010.0
10,"Lucy Hale, Roger Jackson, Shenae Grimes-Beech, Dane Farwell",38176892.0,USA,Wes Craven,Horror,1,English,111.0,Scream 4,12.0,Kevin Williamson,2011.0
11,"John Jarratt, Ryan Corr, Shannon Ashlyn, Philippe Klaus",3448656.0,Australia,Greg McLean,Action,0,English,106.0,Wolf Creek 2,13.0,"Greg McLean, Aaron Sterns",2013.0
12,"Andie MacDowell, Aidan Quinn, Ryan Merriman, Anessa Ramsey",399611.0,USA,Rick Bieber,Biography,0,English,90.0,The 5th Quarter,14.0,Rick Bieber,2010.0
13,"Rachel Weisz, Vanessa Redgrave, Monica Bellucci, David Strathairn",900000.0,Canada,Larysa Kondracki,Action,0,English,112.0,The Whistleblower,15.0,"Larysa Kondracki, Eilis Kirwan",2010.0
14,"Jackie Earle Haley, Kyle Gallner, Rooney Mara, Katie Cassidy",63100000.0,USA,Samuel Bayer,Crime,1,English,95.0,A Nightmare on Elm Street,16.0,"Wesley Strick (screenplay), Eric Heisserer (screenplay), Wesley Strick (story), Wes Craven (characters)",2010.0
15,"Kevin Sorbo, Kristy Swanson, John Ratzenberger, Debby Ryan",814348.0,USA,Dallas Jenkins,Drama,0,English,111.0,What If...,17.0,"Chuck Konzelman, Andrea Gyertson Nasfell, Cary Solomon",2010.0
16,"Amanda Seyfried, Marcia DeBonis, Gael Garcia Bernal, Giordano Formenti",53021560.0,USA,Gary Winick,Adventure,1,English,105.0,Letters to Juliet,18.0,"Jose Rivera, Tim Sullivan",2010.0
17,"George Clooney, Irina Bjorklund, Lars Hjelm, Bjorn Granath",35596227.0,USA,Anton Corbijn,Crime,1,English,105.0,The American,19.0,"Rowan Joffe (screenplay), Martin Booth (novel)",2010.0
18,"Ayako Fujitani, Ryo Kase, Ayumi Ito, Nao Ohmori",300000.0,France,"Joon-ho Bong, Leos Carax, Michel Gondry",Comedy,0,Japanese,112.0,Tokyo!,20.0,"Gabrielle Bell (graphic novel ""Cecil and Jordan in New York""), Joon-ho Bong, Leos Carax, Michel Gondry",2008.0
19,"Bill Nighy, Emily Blunt, Rupert Grint, Rupert Everett",117190.0,UK,Jonathan Lynn,Action,0,English,98.0,Wild Target,21.0,"Lucinda Coxon (screenplay), Pierre Salvadori (film ""Cible emouvante"")",2010.0
20,"Rachel Weisz, Adrien Brody, Mark Ruffalo, Rinko Kikuchi",3479844.0,USA,Rian Johnson,Action,0,English,114.0,The Brothers Bloom,22.0,Rian Johnson,2008.0
21,"Ji-hyun Jun, Allison Miller, Liam Cunningham, JJ Feild",192005.0,Hong Kong,Chris Nahon,Action,0,English,91.0,Blood: The Last Vampire,23.0,"Chris Chow (screenplay), Kenji Kamiyama (character), Katsuya Terada (character)",2009.0
22,"Dominic Cooper, Ludivine Sagnier, Raad Rawi, Philip Quast",1357042.0,Belgium,Lee Tamahori,Biography,0,English,109.0,The Devil's Double,24.0,"Michael Thomas, Latif Yahia (books), Emjay Rechsteiner (story)",2011.0
23,"Akshay Kumar, Saif Ali Khan, Kareena Kapoor, Anil Kapoor",428923.0,India,Vijay Krishna Acharya,Action,0,Hindi,120.0,Tashan,26.0,"Vijay Krishna Acharya (story), Vijay Krishna Acharya (screenplay), Vijay Krishna Acharya (dialogue)",2008.0
24,"Julien Beramis, Marine Griset, Michel Elias, Olivier Claverie",7154.0,France,Michel Ocelot,Animation,0,French,84.0,Tales of the Night,27.0,Michel Ocelot,2011.0
25,"Vince Vaughn, Reese Witherspoon, Robert Duvall, Sissy Spacek",120100000.0,Germany,Seth Gordon,Comedy,1,English,88.0,Four Christmases,28.0,"Matt Allen (screenplay), Caleb Wilson (screenplay), Jon Lucas (screenplay), Scott Moore (screenplay), Matt Allen (story), Caleb Wilson (story)",2008.0
