,Title,Year,Director,Writer,Actors,Genre,Language,Country,Runtime,BoxOffice
0,The Family That Preys,2008,Tyler Perry,Tyler Perry,"Alfre Woodard, Sanaa Lathan, Rockmond Dunbar, KaDee Strickland",Drama,English,USA,111,37019849
1,Zack and Miri Make a Porno,2008,Kevin Smith,Kevin Smith,"Elizabeth Banks, Seth Rogen, Craig Robinson, Gerry Bednob",Comedy,English,USA,101,31382624
2,Double Dhamaal,2011,Indra Kumar,"Farhad Bhiwandiwala (dialogue), Tushar Hiranandani (story & screenplay), Sajid (dialogue)","Sanjay Dutt, Javed Jaffrey, Riteish Deshmukh, Mallika Sherawat",Comedy,Hindi,India,138,543322
3,Gayby,2012,Jonathan Lisecki,Jonathan Lisecki,"Jenn Harris, Anna Margaret Hollyman, Matthew Wilkas, Christian Coulson",Comedy,English,USA,85,8387
4,Bol Bachchan,2012,Rohit Shetty,"Yunus Sajawal (screenplay), Sajid (dialogue), Farhad Samji (dialogue)","Amitabh Bachchan, Asin, Ajay Devgn, Abhishek Bachchan",Action,Hindi,India,155,1216258
5,Despicable Me 2,2013,"Pierre Coffin, Chris Renaud","Cinco Paul, Ken Daurio","Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove",Animation,English,USA,98,368049635
6,Lincoln,2012,Steven Spielberg,"Tony Kushner (screenplay by), Doris Kearns Goodwin (based in part on the book ""Team of Rivals: The Political Genius of Abraham Lincoln"" by)","Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt",Biography,English,USA,150,129477447
9,Rumble: The Indians Who Rocked The World,2017,"Catherine Bainbridge, Alfonso Maiorana(co-director)","Catherine Bainbridge, Alfonso Maiorana","Apl.de.Ap, Dan Auerbach, Scott Barretta, Adam Beach",Documentary,English,Canada,103,222370
10,The Nutcracker in 3D,2010,Andrey Konchalovskiy,"Andrey Konchalovskiy (screenplay), Chris Solimine (screenplay)","Richard Philipps, Fernanda Dorogi, Kriszta Dorogi, Daniel Mogacs",Action,English,UK,110,200000
11,Cats & Dogs: The Revenge of Kitty Galore,2010,Brad Peyton,"Ron J. Friedman, Steve Bencich, John Requa (characters), Glenn Ficarra (characters)","James Marsden, Nick Nolte, Christina Applegate, Katt Williams",Action,English,USA,82,43400000
12,A Bottle in the Gaza Sea,2010,Thierry Binisti,"Thierry Binisti, Valerie Zenatti","Agathe Bonitzer, Mahmud Shalaby, Hiam Abbass, Riff Cohen",Drama,Hebrew,France,100,2531
14,The Red Turtle,2016,Michael Dudok de Wit,"Michael Dudok de Wit (story), Pascale Ferran (screenplay), Michael Dudok de Wit (screenplay)","Emmanuel Garijo, Tom Hudson, Baptiste Goy, Axel Devillers",Animation,None,France,80,920057
15,Forever My Girl,2018,Bethany Ashton Wolf,"Bethany Ashton Wolf (screenplay by), Heidi McLaughlin (based on the novel by)","Alex Roe, Jessica Rothe, Abby Ryder Fortson, Travis Tritt",Drama,English,USA,108,16174498
16,Heal the Living,2016,Katell Quillevere,"Maylis De Kerangal (novel), Katell Quillevere (screenplay), Gilles Taurand (screenplay)","Tahar Rahim, Emmanuelle Seigner, Anne Dorval, Bouli Lanners",Drama,French,France,103,3176
17,Scream 4,2011,Wes Craven,Kevin Williamson,"Lucy Hale, Roger Jackson, Shenae Grimes-Beech, Dane Farwell",Horror,English,USA,111,38176892
18,Wolf Creek 2,2013,Greg McLean,"Greg McLean, Aaron Sterns","John Jarratt, Ryan Corr, Shannon Ashlyn, Philippe Klaus",Action,English,Australia,106,3448656
19,The 5th Quarter,2010,Rick Bieber,Rick Bieber,"Andie MacDowell, Aidan Quinn, Ryan Merriman, Anessa Ramsey",Biography,English,USA,90,399611
21,The Sleepwalker,2014,Mona Fastvold,"Brady Corbet, Mona Fastvold","Gitte Witt, Christopher Abbott, Stephanie Ellis, Brady Corbet",Drama,English,Norway,91,2636
22,The Whistleblower,2010,Larysa Kondracki,"Larysa Kondracki, Eilis Kirwan","Rachel Weisz, Vanessa Redgrave, Monica Bellucci, David Strathairn",Action,English,Canada,112,900000
23,A Nightmare on Elm Street,2010,Samuel Bayer,"Wesley Strick (screenplay), Eric Heisserer (screenplay), Wesley Strick (story), Wes Craven (characters)","Jackie Earle Haley, Kyle Gallner, Rooney Mara, Katie Cassidy",Crime,English,USA,95,63100000
24,My Big Fat Greek Wedding 2,2016,Kirk Jones,Nia Vardalos,"Nia Vardalos, John Corbett, Michael Constantine, Lainie Kazan",Comedy,English,USA,94,52069651
25,Blade Runner 2049,2017,Denis Villeneuve,"Hampton Fancher (screenplay by), Michael Green (screenplay by), Hampton Fancher (story by), Philip K. Dick (based on characters from the novel ""Do Androids Dream of Electric Sheep?"" by)","Ryan Gosling, Dave Bautista, Robin Wright, Mark Arnold",Drama,English,USA,164,91800042
26,Sweet Bean,2015,Naomi Kawase,"Durian Sukegawa (based on the novel by), Naomi Kawase (screenplay)","Kirin Kiki, Masatoshi Nagase, Kyara Uchida, Miki Mizuno",Drama,Japanese,Japan,113,123231
27,What If...,2010,Dallas Jenkins,"Chuck Konzelman, Andrea Gyertson Nasfell, Cary Solomon","Kevin Sorbo, Kristy Swanson, John Ratzenberger, Debby Ryan",Drama,English,USA,111,814348
28,Letters to Juliet,2010,Gary Winick,"Jose Rivera, Tim Sullivan","Amanda Seyfried, Marcia DeBonis, Gael Garcia Bernal, Giordano Formenti",Adventure,English,USA,105,53021560
29,Ode to My Father,2014,JK Youn,Su-jin Park,"Jung-min Hwang, Yunjin Kim, Dal-su Oh, Jin-young Jung",Drama,Korean,South Korea,126,2300121
30,The American,2010,Anton Corbijn,"Rowan Joffe (screenplay), Martin Booth (novel)","George Clooney, Irina Bjorklund, Lars Hjelm, Bjorn Granath",Crime,English,USA,105,35596227
31,Tokyo!,2008,"Joon-ho Bong, Leos Carax, Michel Gondry","Gabrielle Bell (graphic novel ""Cecil and Jordan in New York""), Joon-ho Bong, Leos Carax, Michel Gondry","Ayako Fujitani, Ryo Kase, Ayumi Ito, Nao Ohmori",Comedy,Japanese,France,112,300000
32,Strange Magic,2015,Gary Rydstrom,"David Berenbaum (screenplay by), Irene Mecchi (screenplay by), Gary Rydstrom (screenplay by), George Lucas (story by)","Alan Cumming, Evan Rachel Wood, Elijah Kelley, Meredith Anne Bull",Animation,English,USA,99,10201634
33,Wild Target,2010,Jonathan Lynn,"Lucinda Coxon (screenplay), Pierre Salvadori (film ""Cible emouvante"")","Bill Nighy, Emily Blunt, Rupert Grint, Rupert Everett",Action,English,UK,98,117190
34,Independence Day: Resurgence,2016,Roland Emmerich,"Nicolas Wright (screenplay by), James A. Woods (screenplay by), Dean Devlin (screenplay by), Roland Emmerich (screenplay by), James Vanderbilt (screenplay by), Dean Devlin (story by), Roland Emmerich (story by), Nicolas Wright (story by), James A. Woods (story by), Dean Devlin (based on characters created by), Roland Emmerich (based on characters created by)","Liam Hemsworth, Jeff Goldblum, Jessie T. Usher, Bill Pullman",Action,English,USA,120,103137295
35,The Brothers Bloom,2008,Rian Johnson,Rian Johnson,"Rachel Weisz, Adrien Brody, Mark Ruffalo, Rinko Kikuchi",Action,English,USA,114,3479844
36,Blood: The Last Vampire,2009,Chris Nahon,"Chris Chow (screenplay), Kenji Kamiyama (character), Katsuya Terada (character)","Ji-hyun Jun, Allison Miller, Liam Cunningham, JJ Feild",Action,English,Hong Kong,91,192005
37,The Devil's Double,2011,Lee Tamahori,"Michael Thomas, Latif Yahia (books), Emjay Rechsteiner (story)","Dominic Cooper, Ludivine Sagnier, Raad Rawi, Philip Quast",Biography,English,Belgium,109,1357042
38,The Peanuts Movie,2015,Steve Martino,"Craig Schulz (screenplay by), Bryan Schulz (screenplay by), Cornelius Uliano (screenplay by), Charles M. Schulz (based upon the comic strip by)","Trombone Shorty, Rebecca Bloom, Anastasia Bredikhina, Francesca Capaldi",Animation,English,USA,88,106132048
39,Disco Singh,2014,Anurag Singh,Anurag Singh,"Diljit Dosanjh, Surveen Chawla, B.N. Sharma, Upasna Singh",Comedy,Panjabi,India,141,171610
40,A Cure for Wellness,2016,Gore Verbinski,"Justin Haythe (screenplay by), Justin Haythe (story by), Gore Verbinski (story by)","Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi",Drama,English,USA,146,8103139
42,Tashan,2008,Vijay Krishna Acharya,"Vijay Krishna Acharya (story), Vijay Krishna Acharya (screenplay), Vijay Krishna Acharya (dialogue)","Akshay Kumar, Saif Ali Khan, Kareena Kapoor, Anil Kapoor",Action,Hindi,India,120,428923
43,Francofonia,2015,Aleksandr Sokurov,Aleksandr Sokurov,"Louis-Do de Lencquesaing, Benjamin Utzerath, Vincent Nemeth, Johanna Korthals Altes",Drama,Russian,France,88,290055
44,John Wick: Chapter 2,2017,Chad Stahelski,"Derek Kolstad, Derek Kolstad (based on characters created by)","Keanu Reeves, Riccardo Scamarcio, Ian McShane, Ruby Rose",Action,English,USA,122,91970516
45,Tales of the Night,2011,Michel Ocelot,Michel Ocelot,"Julien Beramis, Marine Griset, Michel Elias, Olivier Claverie",Animation,French,France,84,7154
46,Four Christmases,2008,Seth Gordon,"Matt Allen (screenplay), Caleb Wilson (screenplay), Jon Lucas (screenplay), Scott Moore (screenplay), Matt Allen (story), Caleb Wilson (story)","Vince Vaughn, Reese Witherspoon, Robert Duvall, Sissy Spacek",Comedy,English,Germany,88,120100000
47,Chillar Party,2011,"Vikas Bahl, Nitesh Tiwari","Vikas Bahl (screenplay), Vijay Maurya, Nitesh Tiwari","Aarav Khanna, Chinmay Chandraunshuh, Divji Handa, Irfan Khan",Comedy,Hindi,India,135,6149
48,Nothing to Declare,2010,Dany Boon,"Dany Boon (scenario and dialogue), Yael Boon (collaboration)","Benoit Poelvoorde, Dany Boon, Christel Pedrinelli, Karin Viard",Comedy,French,France,108,153494
49,War Dogs,2016,Todd Phillips,"Stephen Chin (screenplay), Todd Phillips (screenplay), Jason Smilovic (screenplay), Guy Lawson (Rolling Stone article ""Arms and the Dudes"")","Miles Teller, Steve Lantz, Gregg Weiner, David Packouz",Comedy,English,USA,114,43017433
50,These Final Hours,2013,Zak Hilditch,Zak Hilditch,"Jessica De Gouw, Nathan Phillips, David Field, Lauren Cleary",Drama,English,Australia,87,206727
52,In Our Nature,2012,Brian Savelson,Brian Savelson,"Zach Gilford, Jena Malone, John Slattery, Gabrielle Union",Drama,English,USA,103,6175
53,Gun Hill Road,2011,Rashaad Ernesto Green,"Rashaad Ernesto Green, Zora Howard (poetry)","Esai Morales, Robert Salzman, Ty Jones, Harmony Santana",Drama,English,USA,86,139013
54,Home Again,2017,Hallie Meyers-Shyer,Hallie Meyers-Shyer,"Reese Witherspoon, Michael Sheen, Candice Bergen, Pico Alexander",Comedy,English,USA,97,26353346
55,Attenberg,2010,Athina Rachel Tsangari,Athina Rachel Tsangari,"Ariane Labed, Vangelis Mourikis, Evangelia Randou, Yorgos Lanthimos",Drama,Greek,Greece,97,12540
