,Title,Year,Director,Writer,Actors,Genre,Language,Country,Runtime,BoxOffice
0,The Family That Preys,2008,Tyler Perry,Tyler Perry,"Alfre Woodard, Sanaa Lathan, Rockmond Dunbar, KaDee Strickland",Drama,English,USA,111,37019849
1,Zack and Miri Make a Porno,2008,Kevin Smith,Kevin Smith,"Elizabeth Banks, Seth Rogen, Craig Robinson, Gerry Bednob",Comedy,English,USA,101,31382624
20,Tokyo!,2008,"Joon-ho Bong, Leos Carax, Michel Gondry","Gabrielle Bell (graphic novel ""Cecil and Jordan in New York""), Joon-ho Bong, Leos Carax, Michel Gondry","Ayako Fujitani, Ryo Kase, Ayumi Ito, Nao Ohmori",Comedy,Japanese,France,112,300000
22,The Brothers Bloom,2008,Rian Johnson,Rian Johnson,"Rachel Weisz, Adrien Brody, Mark Ruffalo, Rinko Kikuchi",Action,English,USA,114,3479844
26,Tashan,2008,Vijay Krishna Acharya,"Vijay Krishna Acharya (story), Vijay Krishna Acharya (screenplay), Vijay Krishna Acharya (dialogue)","Akshay Kumar, Saif Ali Khan, Kareena Kapoor, Anil Kapoor",Action,Hindi,India,120,428923
28,Four Christmases,2008,Seth Gordon,"Matt Allen (screenplay), Caleb Wilson (screenplay), Jon Lucas (screenplay), Scott Moore (screenplay), Matt Allen (story), Caleb Wilson (story)","Vince Vaughn, Reese Witherspoon, Robert Duvall, Sissy Spacek",Comedy,English,Germany,88,120100000
67,Superhero Movie,2008,Craig Mazin,Craig Mazin,"Drake Bell, Sara Paxton, Christopher McDonald, Leslie Nielsen",Action,English,USA,75,25815447
81,The Sisterhood of the Traveling Pants 2,2008,Sanaa Hamri,"Elizabeth Chandler (screenplay), Ann Brashares (novel)","Amber Tamblyn, Alexis Bledel, America Ferrera, Blake Lively",Comedy,English,USA,119,44029972
82,The Hurt Locker,2008,Kathryn Bigelow,Mark Boal,"Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce",Drama,English,USA,131,15700000
84,Inkheart,2008,Iain Softley,"David Lindsay-Abaire (screenplay), Cornelia Funke (novel)","Brendan Fraser, Sienna Guillory, Eliza Bennett, Richard Strange",Adventure,English,Germany,106,17281832
85,Blindness,2008,Fernando Meirelles,"Jose Saramago (novel), Don McKellar (screenplay)","Yusuke Iseya, Jason Bermingham, Eduardo Semerjian, Don McKellar",Drama,English,Canada,121,3073392
99,The Duchess,2008,Saul Dibb,"Jeffrey Hatcher (screenplay), Anders Thomas Jensen (screenplay), Saul Dibb (screenplay), Amanda Foreman (book)","Keira Knightley, Ralph Fiennes, Charlotte Rampling, Dominic Cooper",Biography,English,UK,110,13800000
101,Expelled: No Intelligence Allowed,2008,Nathan Frankowski,"Kevin Miller, Ben Stein","Ben Stein, Lili Asvar, Peter Atkins, Hector Avalos",Documentary,English,USA,90,7499617
120,"Food, Inc.",2008,Robert Kenner,"Robert Kenner, Elise Pearlstein, Kim Roberts","Eric Schlosser, Richard Lobb, Vince Edwards, Carole Morison",Documentary,English,USA,94,4238694
127,Fashion,2008,Madhur Bhandarkar,"Ajay Monga (story and screenplay), Madhur Bhandarkar (story and screenplay), Niranjan Iyengar (dialogue), Anuradha Tiwari (story and screenplay), Sandeep Nath (lyrics), Irfan Siddiqui (lyrics), Ajeet Ghorpade (story and screenplay)","Priyanka Chopra, Kangana Ranaut, Mugdha Godse, Arbaaz Khan",Drama,Hindi,India,167,173551
129,You Don't Mess with the Zohan,2008,Dennis Dugan,"Adam Sandler, Robert Smigel, Judd Apatow","Adam Sandler, John Turturro, Emmanuelle Chriqui, Nick Swardson",Comedy,English,USA,113,100018837
133,JCVD,2008,Mabrouk El Mechri,"Mabrouk El Mechri (scenario), Frederic Benudis (in collaboration with), Mabrouk El Mechri (adaptation), Frederic Taddei (original idea), Vincent Ravalec (original idea), Christophe Turpin","Jean-Claude Van Damme, Valerie Bodson, Herve Sogne, Rock Chen",Comedy,French,Belgium,97,382923
144,The Reader,2008,Stephen Daldry,"David Hare (screenplay), Bernhard Schlink (book)","Ralph Fiennes, Jeanette Hain, David Kross, Kate Winslet",Drama,English,USA,124,34111418
145,Drillbit Taylor,2008,Steven Brill,"Kristofor Brown (screenplay), Seth Rogen (screenplay), John Hughes (story), Kristofor Brown (story), Seth Rogen (story)","Nate Hartley, Troy Gentile, Ian Roberts, Owen Wilson",Comedy,English,USA,110,32853640
152,Harold & Kumar Escape from Guantanamo Bay,2008,"Jon Hurwitz, Hayden Schlossberg","Jon Hurwitz, Hayden Schlossberg, Jon Hurwitz (characters), Hayden Schlossberg (characters)","John Cho, Kal Penn, Rob Corddry, Jack Conley",Adventure,English,USA,104,38087366
153,Krazzy 4,2008,Jaideep Sen,"Ashwani Dhir (screenplay & dialogue), Rakesh Roshan (story)","Juhi Chawla, Irrfan Khan, Arshad Warsi, Rajpal Yadav",Comedy,Hindi,India,110,433472
154,The Mummy: Tomb of the Dragon Emperor,2008,Rob Cohen,"Alfred Gough, Miles Millar","Brendan Fraser, Jet Li, Maria Bello, John Hannah",Action,English,USA,112,101600000
157,Death Race,2008,Paul W.S. Anderson,"Paul W.S. Anderson (screenplay), Paul W.S. Anderson (screen story), Robert Thom, Charles B. Griffith, Ib Melchior","Jason Statham, Joan Allen, Ian McShane, Tyrese Gibson",Action,English,USA,105,36064910
161,Seven Pounds,2008,Gabriele Muccino,Grant Nieporte,"Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy",Drama,English,USA,123,69951824
176,Nights in Rodanthe,2008,George C. Wolfe,"Ann Peacock (screenplay), John Romano (screenplay), Nicholas Sparks (novel)","Richard Gere, Diane Lane, Christopher Meloni, Viola Davis",Drama,English,USA,97,41840908
179,Where in the World Is Osama Bin Laden?,2008,Morgan Spurlock,"Jeremy Chilnick (screenplay), Morgan Spurlock (screenplay)","Morgan Spurlock, George Bush, Dick Cheney, Daryl Isaacs",Documentary,English,France,90,300000
185,Red Cliff,2008,John Woo,"John Woo (screenplay), Khan Chan (screenplay), Cheng Kuo (screenplay), Heyu Sheng (screenplay), Guanzhong Luo (novel)","Tony Chiu-Wai Leung, Takeshi Kaneshiro, Fengyi Zhang, Chen Chang",Action,Mandarin,China,148,526841
187,Milk,2008,Gus Van Sant,Dustin Lance Black,"Sean Penn, Emile Hirsch, Josh Brolin, Diego Luna",Biography,English,USA,128,31716847
192,Step Up 2: The Streets,2008,Jon M. Chu,"Toni Ann Johnson, Karen Barna, Duane Adler (characters)","Briana Evigan, Robert Hoffman, Adam Sevani, Cassie Ventura",Drama,English,USA,98,58006147
201,Easy Virtue,2008,Stephan Elliott,"Stephan Elliott, Sheridan Jobbins, Noel Coward (play)","Jessica Biel, Ben Barnes, Kristin Scott Thomas, Colin Firth",Comedy,English,UK,97,2600000
204,Transporter 3,2008,Olivier Megaton,"Luc Besson, Robert Mark Kamen, Luc Besson (characters), Robert Mark Kamen (characters)","Jason Statham, Natalya Rudakova, Francois Berleand, Robert Knepper",Action,English,France,104,31316973
211,Punisher: War Zone,2008,Lexi Alexander,"Nick Santora, Art Marcum, Matt Holloway","Ray Stevenson, Dominic West, Doug Hutchison, Colin Salmon",Action,English,USA,103,7948159
213,The Other Boleyn Girl,2008,Justin Chadwick,"Peter Morgan (screenplay), Philippa Gregory (novel)","Natalie Portman, Scarlett Johansson, Eric Bana, Jim Sturgess",Biography,English,UK,115,26800000
222,"Welcome Home, Roscoe Jenkins",2008,Malcolm D. Lee,Malcolm D. Lee,"Martin Lawrence, James Earl Jones, Margaret Avery, Joy Bryant",Comedy,English,USA,114,42168445
228,The Baader Meinhof Complex,2008,Uli Edel,"Bernd Eichinger (screenplay), Uli Edel (screenplay collaborator), Stefan Aust (book)","Martina Gedeck, Moritz Bleibtreu, Johanna Wokalek, Nadja Uhl",Action,German,Germany,150,296294
231,Morning Light,2008,Mark Monroe,"Leslie DeMeuse (conceived by), Roy Edward Disney (conceived by), Mark Monroe, Thomas J. Pollack (based on an original idea by)","Chris Branning, Graham Brant-Zawadzki, Chris Clark, Roy Edward Disney",Documentary,English,USA,97,129295
244,Pride and Glory,2008,Gavin O'Connor,"Joe Carnahan (screenplay), Gavin O'Connor (screenplay), Gavin O'Connor (story), Greg O'Connor (story), Robert Hopes (story)","Colin Farrell, Edward Norton, Jon Voight, Noah Emmerich",Crime,English,USA,130,15709385
257,The Midnight Meat Train,2008,Ryuhei Kitamura,"Jeff Buhler (screenplay), Clive Barker (short story ""The Midnight Meat Train"")","Bradley Cooper, Leslie Bibb, Brooke Shields, Vinnie Jones",Horror,English,USA,100,34394
258,Nim's Island,2008,"Jennifer Flackett, Mark Levin","Joseph Kwong (screenplay), Paula Mazur (screenplay), Mark Levin (screenplay), Jennifer Flackett (screenplay), Wendy Orr (novel)","Abigail Breslin, Jodie Foster, Gerard Butler, Michael Carman",Adventure,English,USA,96,47912652
262,Indiana Jones and the Kingdom of the Crystal Skull,2008,Steven Spielberg,"David Koepp (screenplay), George Lucas (story), Jeff Nathanson (story), George Lucas (characters), Philip Kaufman (characters)","Harrison Ford, Cate Blanchett, Karen Allen, Shia LaBeouf",Action,English,USA,122,316957122
286,Paris,2008,Cedric Klapisch,Cedric Klapisch,"Fabrice Luchini, Romain Duris, Joffrey Platel, Melanie Laurent",Comedy,French,France,130,1000000
313,Kung Fu Panda,2008,"Mark Osborne, John Stevenson","Jonathan Aibel (screenplay), Glenn Berger (screenplay), Ethan Reiff (story), Cyrus Voris (story)","Jack Black, Dustin Hoffman, Angelina Jolie, Ian McShane",Animation,English,USA,92,215395021
325,Two Lovers,2008,James Gray,"James Gray, Ric Menello","Joaquin Phoenix, Anne Joyce, Elliot Villar, Craig Walker",Drama,English,USA,110,2997417
332,The Dark Knight,2008,Christopher Nolan,"Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",Action,English,USA,152,533316061
343,Frozen River,2008,Courtney Hunt,Courtney Hunt,"Melissa Leo, Misty Upham, Charlie McDermott, Michael O'Keefe",Crime,English,USA,97,2061019
344,City of Ember,2008,Gil Kenan,"Caroline Thompson (screenplay), Jeanne Duprau (book)","Saoirse Ronan, David Ryall, Harry Treadaway, Mary Kay Place",Adventure,English,USA,90,7800000
347,The Lucky Ones,2008,Neil Burger,"Neil Burger, Dirk Wittenborn","Rachel McAdams, Tim Robbins, Michael Pena, Molly Hagan",Comedy,English,USA,115,183088
360,The Chronicles of Narnia: Prince Caspian,2008,Andrew Adamson,"Andrew Adamson (screenplay), Christopher Markus (screenplay), Stephen McFeely (screenplay), C.S. Lewis (novel)","Ben Barnes, Georgie Henley, Skandar Keynes, William Moseley",Action,English,USA,150,141614023
366,Lakeview Terrace,2008,Neil LaBute,"David Loughery (screenplay), Howard Korder (screenplay), David Loughery (story)","Samuel L. Jackson, Patrick Wilson, Kerry Washington, Ron Glass",Crime,English,USA,110,39263506
