movie_id,director
8587,Roger Allers
8587,Rob Minkoff
114,Garry Marshall
18989,Pen Densham
77056,Éric Rohmer
161806,John Walsh
1480,Orson Welles
10281,John Carl Buechler
1618,Brian Gibson
14578,Michael Corrente
1879,Stanley Kramer
207731,Val Lik
18153,Robert Greenwald
644,Steven Spielberg
11444,Francis Veber
87462,William Lustig
28213,Éric Rohmer
27088,Boaz Davidson
21801,Andrew J. Smith
21801,Alex Smith
18722,Fred Schepisi
26755,Bruce Sinofsky
26755,Joe Berlinger
513,Deepa Mehta
10619,Tsui Hark
17744,James B. Harris
1786,Louis Malle
71373,Mike Hodges
16765,John Dullaghan
10361,Brett Sullivan
12597,Scott Derrickson
34090,Robert Jan Westdijk
55418,Rauni Mollberg
9951,Jarno Laasala
43791,Ronald Neame
6145,Gregory Hoblit
77621,Oscar Micheaux
156917,Aarne Tarkas
17899,Alfonso Albacete
17899,David Menkes
32395,Shana Feste
42188,Mark Romanek
87387,Vikram Jayanti
37710,Florian Henckel von Donnersmarck
5562,Claude Chabrol
49517,Tomas Alfredson
59006,Sebastian Gutierrez
95538,João Pedro Rodrigues
72197,Peter Lord
72197,Jeff Newitt
99934,George W. Hill
86980,Staffan Lindberg
94570,William Heise
32327,Hans Richter
118624,Yim Pil-sung
118624,Kim Jee-woon
98066,Jay Chandrasekhar
117266,Joseph Garner
397339,Paul Powell
39458,Ian Cofino
186606,Ryan Perez
143567,Hugo Gélin
65435,Jeremy Earp
65435,Adriana Barbaro
91018,Doug Wilson
119278,Michael J. Gallagher
31214,Alberto Lattuada
127812,George Fitzmaurice
94590,James D. Rolfe
94590,Kevin Finn
110073,Run Wrake
162442,Naomi Kawase
193726,Rodney Ascher
193726,Bill Plympton
193726,Erik Matti
193726,Lancelot Oduwa Imasuen
193726,Kristina Buozyte
193726,Bruno Samper
193726,Vincenzo Natali
193726,Larry Fessenden
193726,Julien Maury
193726,Alexandre Bustillo
193726,E.L. Katz
193726,Jen Soska
193726,Aharon Keshales
193726,Navot Papushado
193726,Julian Gilbey
193726,Dennison Ramalho
193726,Jerome Sable
193726,Robert Morgan
193726,Sylvia Soska
193726,Chris Nash
193726,Hajime Ohata
193726,Sôichi Umezawa
193726,Todd Rohal
193726,Julian Barratt
193726,Alejandro Brugués
193726,Jim Hosking
193726,Robert Boocheck
193726,Marvin Kren
193726,Juan Martínez Moreno
193726,Steven Kostanski
256962,Alejandro Monteverde
48412,Paul Wendkos
302348,Dominic Burns
286192,James Ford Murphy
128311,Steven C. Miller
347096,Anne K. Black
331592,Khalil Sullins
184440,Daric Loo
16079,Jack Ersgard
16079,Patrik Ersgård
325173,Isaac Florentine
352024,Piotr Dumala
220176,Han Jae-rim
48242,Matt Cimber
64404,Philippe Garrel
35749,John Donne
379508,Alekos Sakellarios
370902,Vasili Sigarev
335498,Harold S. Bucquet
362478,Joseph Castelo
40471,Eddie Nicart
167548,Aleksandar Manić
37228,Steven Fischler
37228,Joel Sucher
91041,Oddvar Einarson
10458,Mennan Yapo
251619,Maarten Treurniet
155191,Chris Eyre
53693,Sven Methling
83944,Kazuyoshi Kumakiri 
108523,Junji Sakamoto
67592,Riley Thomson
324963,Dan Fraga
324963,William Lau
118144,Jang Jin
412363,Rama Burshtein
154727,Keizou Shimizu
154727,Kenichi Maeda
404604,Ravi Udyawar
