Title,Year,Genre,Director,Writer,Actors,Language,Country,Runtime,BoxOffice
The Family That Preys,2008,Drama,Tyler Perry,Tyler Perry,Alfre Woodard,English,USA,111,37019849
Zack and Miri Make a Porno,2008,Comedy,Kevin Smith,Kevin Smith,Elizabeth Banks,English,USA,101,31382624
Double Dhamaal,2011,Comedy,Indra Kumar,Farhad Bhiwandiwala ,Sanjay Dutt,Hindi,India,138,543322
Gayby,2012,Comedy,Jonathan Lisecki,Jonathan Lisecki,Jenn Harris,English,USA,85,8387
Bol Bachchan,2012,Action,Rohit Shetty,Yunus Sajawal ,Amitabh Bachchan,Hindi,India,155,1216258
Despicable Me 2,2013,Animation,Pierre Coffin,Cinco Paul,Steve Carell,English,USA,98,368049635
Lincoln,2012,Biography,Steven Spielberg,Tony Kushner ,Daniel Day-Lewis,English,USA,150,129477447
Bachelorette,2012,Comedy,Leslye Headland,Leslye Headland ,Kirsten Dunst,English,USA,87,400000
Sarkar Raj,2008,Crime,Ram Gopal Varma,Prashant Pandey,Amitabh Bachchan,Hindi,India,125,909771
Rumble: The Indians Who Rocked The World,2017,Documentary,Catherine Bainbridge,Catherine Bainbridge,Apl.de.Ap,English,Canada,103,222370
The Nutcracker in 3D,2010,Action,Andrey Konchalovskiy,Andrey Konchalovskiy ,Richard Philipps,English,UK,110,20000000
My Reincarnation,2011,Documentary,Jennifer Fox,unknown,Yeshi Silvano Namkhai,English,Switzerland,90,92674
Cats & Dogs: The Revenge of Kitty Galore,2010,Action,Brad Peyton,Ron J. Friedman,James Marsden,English,USA,82,43400000
A Bottle in the Gaza Sea,2010,Drama,Thierry Binisti,Thierry Binisti,Agathe Bonitzer,Hebrew,France,100,2531
Fed Up,2014,Documentary,Stephanie Soechtig,Mark Monroe,Katie Couric,English,USA,92,1538898
The Red Turtle,2016,Animation,Michael Dudok de Wit,Michael Dudok de Wit ,Emmanuel Garijo,None,France,80,920057
Forever My Girl,2018,Drama,Bethany Ashton Wolf,Bethany Ashton Wolf ,Alex Roe,English,USA,108,16174498
Heal the Living,2016,Drama,Katell Quillevere,Maylis De Kerangal ,Tahar Rahim,French,France,103,3176
Scream 4,2011,Horror,Wes Craven,Kevin Williamson,Lucy Hale,English,USA,111,38176892
Wolf Creek 2,2013,Action,Greg McLean,Greg McLean,John Jarratt,English,Australia,106,3448656
The 5th Quarter,2010,Biography,Rick Bieber,Rick Bieber,Andie MacDowell,English,USA,90,39961100
Steve Jobs,2015,Biography,Danny Boyle,Aaron Sorkin ,Michael Fassbender,English,UK,122,12403169
The Sleepwalker,2014,Drama,Mona Fastvold,Brady Corbet,Gitte Witt,English,Norway,91,2636
The Whistleblower,2010,Action,Larysa Kondracki,Larysa Kondracki,Rachel Weisz,English,Canada,112,900000
A Nightmare on Elm Street,2010,Crime,Samuel Bayer,Wesley Strick ,Jackie Earle Haley,English,USA,95,63100000
My Big Fat Greek Wedding 2,2016,Comedy,Kirk Jones,Nia Vardalos,Nia Vardalos,English,USA,94,52069651
Blade Runner 2049,2017,Drama,Denis Villeneuve,Hampton Fancher ,Ryan Gosling,English,USA,164,91800042
Sweet Bean,2015,Drama,Naomi Kawase,Durian Sukegawa ,Kirin Kiki,Japanese,Japan,113,123231
What If...,2010,Drama,Dallas Jenkins,Chuck Konzelman,Kevin Sorbo,English,USA,111,814348
Letters to Juliet,2010,Adventure,Gary Winick,Jose Rivera,Amanda Seyfried,English,USA,105,53021560
Ode to My Father,2014,Drama,JK Youn,Su-jin Park,Jung-min Hwang,Korean,South Korea,126,2300121
The American,2010,Crime,Anton Corbijn,Rowan Joffe ,George Clooney,English,USA,105,35596227
Tokyo!,2008,Comedy,Joon-ho Bong,Gabrielle Bell ,Ayako Fujitani,Japanese,France,112,300000
Strange Magic,2015,Animation,Gary Rydstrom,David Berenbaum ,Alan Cumming,English,USA,99,10201634
Wild Target,2010,Action,Jonathan Lynn,Lucinda Coxon ,Bill Nighy,English,UK,98,117190
Independence Day: Resurgence,2016,Action,Roland Emmerich,Nicolas Wright ,Liam Hemsworth,English,USA,120,103137295
The Brothers Bloom,2008,Action,Rian Johnson,Rian Johnson,Rachel Weisz,English,USA,114,3479844
Blood: The Last Vampire,2009,Action,Chris Nahon,Chris Chow ,Ji-hyun Jun,English,Hong Kong,91,192005
Room 237,2012,Documentary,Rodney Ascher,unknown,Bill Blakemore,English,USA,102,181283
The Devil's Double,2011,Biography,Lee Tamahori,Michael Thomas,Dominic Cooper,English,Belgium,109,1357042
The Peanuts Movie,2015,Animation,Steve Martino,Craig Schulz ,Trombone Shorty,English,USA,88,106132048
Urbanized,2011,Documentary,Gary Hustwit,unknown,Norman Foster,English,USA,85,36208
Disco Singh,2014,Comedy,Anurag Singh,Anurag Singh,Diljit Dosanjh,Panjabi,India,141,171610
A Cure for Wellness,2016,Drama,Gore Verbinski,Justin Haythe ,Dane DeHaan,English,USA,146,8103139
Takers,2010,Action,John Luessenhop,Peter Allen,Chris Brown,English,USA,107,57744720
Tashan,2008,Action,Vijay Krishna Acharya,Vijay Krishna Acharya ,Akshay Kumar,Hindi,India,120,428923
Francofonia,2015,Drama,Aleksandr Sokurov,Aleksandr Sokurov,Louis-Do de Lencquesaing,Russian,France,88,290055
John Wick: Chapter 2,2017,Action,Chad Stahelski,Derek Kolstad,Keanu Reeves,English,USA,122,91970516
Tales of the Night,2011,Animation,Michel Ocelot,Michel Ocelot,Julien Beramis,French,France,84,7154
Four Christmases,2008,Comedy,Seth Gordon,Matt Allen ,Vince Vaughn,English,Germany,88,120100000
Chillar Party,2011,Comedy,Vikas Bahl,Vikas Bahl ,Aarav Khanna,Hindi,India,135,6149
Nothing to Declare,2010,Comedy,Dany Boon,Dany Boon ,Benoit Poelvoorde,French,France,108,153494
War Dogs,2016,Comedy,Todd Phillips,Stephen Chin ,Miles Teller,English,USA,114,43017433
These Final Hours,2013,Drama,Zak Hilditch,Zak Hilditch,Jessica De Gouw,English,Australia,87,206727
Our Little Sister,2015,Drama,Hirokazu Koreeda,Akimi Yoshida ,Haruka Ayase,Japanese,Japan,127,466986
In Our Nature,2012,Drama,Brian Savelson,Brian Savelson,Zach Gilford,English,USA,103,6175
Gun Hill Road,2011,Drama,Rashaad Ernesto Green,Rashaad Ernesto Green,Esai Morales,English,USA,86,139013
Home Again,2017,Comedy,Hallie Meyers-Shyer,Hallie Meyers-Shyer,Reese Witherspoon,English,USA,97,26353346
Attenberg,2010,Drama,Athina Rachel Tsangari,Athina Rachel Tsangari,Ariane Labed,Greek,Greece,97,12540
Te3n,2016,Drama,Ribhu Dasgupta,Bijesh Jayarajan ,Amitabh Bachchan,Hindi,India,136,258066
Pompeii,2014,Action,Paul W.S. Anderson,Janet Scott Batchler ,Kit Harington,English,Canada,105,19919371
The Guilt Trip,2012,Comedy,Anne Fletcher,Dan Fogelman,Barbra Streisand,English,USA,95,37101011
The Pirates! Band of Misfits,2012,Animation,Peter Lord,Gideon Defoe ,Hugh Grant,English,UK,88,31051126
Trollhunter,2010,Drama,Andre Ovredal,Andre Ovredal,Otto Jespersen,Norwegian,Norway,103,252652
Casino Jack,2010,Biography,George Hickenlooper,Norman Snider,Kevin Spacey,English,Canada,108,1039869
Paranormal Activity 2,2010,Horror,Tod Williams,Michael R. Perry ,David Bierend,English,USA,91,84747727
Ra.One,2011,Action,Anubhav Sinha,David Benullo,Shah Rukh Khan,Hindi,India,156,2509150
Downsizing,2017,Drama,Alexander Payne,Alexander Payne,Matt Damon,English,USA,135,22932429
Miss You Already,2015,Comedy,Catherine Hardwicke,Morwenna Banks,Drew Barrymore,English,UK,112,2895704
Hall Pass,2011,Comedy,Bobby Farrelly,Pete Jones ,Owen Wilson,English,USA,105,45045037
Velaiilla Pattadhari,2014,Action,Velraj,Velraj,Dhanush,Tamil,India,133,66438
A Man Called Ove,2015,Comedy,Hannes Holm,Hannes Holm ,Rolf Lassgard,Swedish,Sweden,116,3358518
The Catechism Cataclysm,2011,Comedy,Todd Rohal,Todd Rohal ,Judy Findlay,English,USA,75,1933
Redemption,2013,Action,Steven Knight,Steven Knight,Jason Statham,English,UK,100,23595
Housefull,2010,Comedy,Sajid Khan,Sameer Anjaan ,Akshay Kumar,Hindi,India,144,642156
Hating Breitbart,2012,Documentary,Andrew Marcus,Andrew Marcus,Andrew Breitbart,English,USA,85,81432
Stories We Tell,2012,Documentary,Sarah Polley,Sarah Polley,Michael Polley,English,Canada,108,1599038
The Fighter,2010,Biography,David O. Russell,Scott Silver ,Mark Wahlberg,English,USA,116,93571803
Diana Vreeland: The Eye Has to Travel,2011,Documentary,Lisa Immordino Vreeland,Lisa Immordino Vreeland,Diana Vreeland,English,USA,86,619054
For Colored Girls,2010,Drama,Tyler Perry,Tyler Perry ,Kimberly Elise,English,USA,133,37714860
Rings,2017,Drama,F. Javier Gutierrez,David Loucka ,Matilda Anna Ingrid Lutz,English,USA,102,27766716
