Title,Year,Genre,Director,Writer,Actors,Language,Country,Runtime,BoxOffice
The Family That Preys,2008,['Drama'],Tyler Perry,Tyler Perry,"['Alfre Woodard', 'Sanaa Lathan', 'Rockmond Dunbar']",English,USA,111,37019849
Zack and Miri Make a Porno,2008,"['Comedy', 'Romance']",Kevin Smith,Kevin Smith,"['Elizabeth Banks', 'Seth Rogen', 'Craig Robinson']",English,USA,101,31382624
Double Dhamaal,2011,"['Comedy', 'Crime', 'Drama']",Indra Kumar,Farhad Bhiwandiwala,"['Sanjay Dutt', 'Javed Jaffrey', 'Riteish Deshmukh']",Hindi,India,138,543322
Gayby,2012,"['Comedy', 'Drama', 'Romance']",Jonathan Lisecki,Jonathan Lisecki,"['Jenn Harris', 'Anna Margaret Hollyman', 'Matthew Wilkas']",English,USA,85,8387
Bol Bachchan,2012,"['Action', 'Comedy', 'Drama']",Rohit Shetty,Yunus Sajawal,"['Amitabh Bachchan', 'Asin', 'Ajay Devgn']",Hindi,India,155,1216258
Despicable Me 2,2013,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",Pierre Coffin,Cinco Paul,"['Steve Carell', 'Kristen Wiig', 'Benjamin Bratt']",English,USA,98,368049635
Lincoln,2012,"['Biography', 'Drama', 'History', 'War']",Steven Spielberg,Tony Kushner,"['Daniel Day-Lewis', 'Sally Field', 'David Strathairn']",English,USA,150,129477447
Bachelorette,2012,"['Comedy', 'Romance']",Leslye Headland,Leslye Headland,"['Kirsten Dunst', 'Rebel Wilson', 'Lizzy Caplan']",English,USA,87,400000
Sarkar Raj,2008,"['Crime', 'Drama']",Ram Gopal Varma,Prashant Pandey,"['Amitabh Bachchan', 'Abhishek Bachchan', 'Aishwarya Rai Bachchan']",Hindi,India,125,909771
The Nutcracker in 3D,2010,"['Action', 'Family', 'Fantasy', 'Musical']",Andrey Konchalovskiy,Andrey Konchalovskiy,"['Richard Philipps', 'Fernanda Dorogi', 'Kriszta Dorogi']",English,UK,110,20000000
My Reincarnation,2011,"['Documentary', 'Adventure', 'Biography']",Jennifer Fox,unknown,"['Yeshi Silvano Namkhai', 'Chogyal Namkhai Norbu']",English,Switzerland,90,92674
Cats & Dogs: The Revenge of Kitty Galore,2010,"['Action', 'Comedy', 'Family', 'Fantasy']",Brad Peyton,Ron J. Friedman,"['James Marsden', 'Nick Nolte', 'Christina Applegate']",English,USA,82,43400000
A Bottle in the Gaza Sea,2010,['Drama'],Thierry Binisti,Thierry Binisti,"['Agathe Bonitzer', 'Mahmud Shalaby', 'Hiam Abbass']",Hebrew,France,100,2531
Fed Up,2014,['Documentary'],Stephanie Soechtig,Mark Monroe,"['Katie Couric', 'Bill Clinton', 'Michael Bloomberg']",English,USA,92,1538898
Scream 4,2011,"['Horror', 'Mystery']",Wes Craven,Kevin Williamson,"['Lucy Hale', 'Roger Jackson', 'Shenae Grimes-Beech']",English,USA,111,38176892
Wolf Creek 2,2013,"['Action', 'Horror']",Greg McLean,Greg McLean,"['John Jarratt', 'Ryan Corr', 'Shannon Ashlyn']",English,Australia,106,3448656
The 5th Quarter,2010,"['Biography', 'Drama', 'Sport']",Rick Bieber,Rick Bieber,"['Andie MacDowell', 'Aidan Quinn', 'Ryan Merriman']",English,USA,90,39961100
