Title,Year,Genre,Director,Writer,Actors,Language,Country,Runtime,BoxOffice
Island of Lemurs: Madagascar,2014,Documentary,David Douglas,Drew Fellman,Morgan Freeman,English,Canada,39,10675739
To the Arctic 3D,2012,Documentary,Greg MacGillivray,Stephen Judson,Leanne Allison,English,USA,40,14445922
Sea Rex 3D: Journey to a Prehistoric World,2010,Documentary,Ronan Chapalain,Ronan Chapalain,Guillaume Denaiffe,English,UK,41,6096582
Hubble,2010,Documentary,Toni Myers,Toni Myers,Leonardo DiCaprio,English,Canada,44,51710208
In Search of Blind Joe Death: The Saga of John Fahey,2013,Documentary,James Cullingham,unknown,unknown,English,Canada,58,4871
Interior. Leather Bar.,2013,Documentary,James Franco,Travis Mathews,Val Lauren,English,USA,60,26222
Thomas & Friends: Sodor's Legend of the Lost Treasure,2015,Animation,David Stoten,Wilbert Awdry ,Mark Moraghan,English,UK,63,108617
Budrus,2009,Documentary,Julia Bacha,Julia Bacha,unknown,Arabic,Israel,70,65533
A Cat in Paris,2010,Animation,Jean-Loup Felicioli,Alain Gagnol ,Dominique Blanc,French,France,70,287709
Approved for Adoption,2012,Animation,Laurent Boileau,Laurent Boileau,Maxym Anciaux,French,France,70,4014
Steve Jobs: The Lost Interview,2012,Documentary,Paul Sen,Robert X. Cringely,Steve Jobs,English,USA,70,104286
The Search for General Tso,2014,Documentary,Ian Cheney,Ian Cheney,Ian Cheney,English,USA,71,36800
Kisses,2008,Drama,Lance Daly,Lance Daly,Kelly O'Neill,English,Ireland,72,81313
Bestiaire,2012,Documentary,Denis Cote,Denis Cote,unknown,None,Canada,72,1428
Indigo Children,2012,Drama,Eric Chaney,Eric Chaney,Robert Olsen,English,USA,72,2621
The Fits,2015,Drama,Anna Rose Holmer,Anna Rose Holmer,Royalty Hightower,English,USA,72,166425
Alamar,2009,Documentary,Pedro Gonzalez-Rubio,Pedro Gonzalez-Rubio ,Jorge Machado,Spanish,Mexico,73,61613
Orgasm Inc.,2009,Documentary,Elizabeth Canner,unknown,Elizabeth Canner,English,USA,73,47622
Hank and Asha,2013,Comedy,James E. Duff,James E. Duff,Mahira Kakkar,English,USA,73,10544
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,2008,Documentary,Bruce Hendricks,Michael Poryes ,Miley Cyrus,English,USA,74,65138443
One Track Heart: The Story of Krishna Das,2012,Documentary,Jeremy Frindel,unknown,Neem Karoli Baba,English,USA,74,44810
Nas: Time Is Illmatic,2014,Documentary,One9,Erik Parker,Nas,English,USA,74,151366
A Monster with a Thousand Heads,2015,Drama,Rodrigo Pla,Laura Santullo,Jana Raluy,Spanish,Mexico,74,18069
Superhero Movie,2008,Action,Craig Mazin,Craig Mazin,Drake Bell,English,USA,75,25815447
Mid-August Lunch,2008,Comedy,Gianni Di Gregorio,Gianni Di Gregorio ,Valeria De Franciscis,Italian,Italy,75,600000
The Secret of Kells,2009,Animation,Tomm Moore,Tomm Moore ,Evan McGuire,English,France,75,686383
A Town Called Panic,2009,Animation,Stephane Aubier,Stephane Aubier ,Stephane Aubier,French,Belgium,75,165349
Into Eternity: A Film for the Future,2010,Documentary,Michael Madsen,Michael Madsen,Carl Reinhold Brakenhjelm,English,Denmark,75,33046
Small Town Murder Songs,2010,Crime,Ed Gass-Donnelly,Ed Gass-Donnelly,Jill Hennessy,English,Canada,75,30858
The Catechism Cataclysm,2011,Comedy,Todd Rohal,Todd Rohal ,Judy Findlay,English,USA,75,1933
This Is Not a Film,2011,Documentary,Mojtaba Mirtahmasb,Jafar Panahi,Jafar Panahi,Persian,Iran,75,63144
Chasing Ice,2012,Documentary,Jeff Orlowski,Mark Monroe,James Balog,English,USA,75,1309997
Men at Lunch,2012,Documentary,Sean O Cualain,unknown,Fionnula Flanagan,English,Ireland,75,2329
Secret of the Wings,2012,Animation,Roberts Gannaway,Roberts Gannaway ,Mae Whitman,English,USA,75,1871624
K2: Siren of the Himalayas,2012,Documentary,Dave Ohlson,Darren Lund,Gerlinde Kaltenbrunner,English,USA,75,12959
Mistaken for Strangers,2013,Documentary,Tom Berninger,unknown,Matt Berninger,English,USA,75,103632
Kevin Hart: Let Me Explain,2013,Documentary,Leslie Small,Kevin Hart,Kevin Hart,English,USA,75,32200000
A Teacher,2013,Drama,Hannah Fidell,Hannah Fidell,Lindsay Burdge,English,USA,75,4000
Red Obsession,2013,Documentary,David Roach,David Roach,Russell Crowe,English,Australia,75,9939
Jonas Brothers: The 3D Concert Experience,2009,Documentary,Bruce Hendricks,unknown,Kevin Jonas,English,USA,76,19024826
Tinker Bell and the Great Fairy Rescue,2010,Animation,Bradley Raymond,Bob Hilgenberg ,Mae Whitman,English,USA,76,288544
The Painting,2011,Animation,Jean-Francois Laguionie,Nicky Baker ,Jean Barney,French,France,76,15143
"Turn Me On, Dammit!",2011,Comedy,Jannicke Systad Jacobsen,Jannicke Systad Jacobsen,Helene Bergsholm,Norwegian,Norway,76,65324
Occupy Unmasked,2012,Documentary,Stephen K. Bannon,Stephen K. Bannon,Saul Alinsky,English,USA,76,51787
The Do-Deca-Pentathlon,2012,Comedy,Jay Duplass,Jay Duplass,Mark Kelly,English,USA,76,10000
Birth of the Living Dead,2013,Documentary,Rob Kuhns,unknown,George A. Romero,English,USA,76,8590
Tinker Bell and the Legend of the NeverBeast,2014,Animation,Steve Loter,Steve Loter ,Ginnifer Goodwin,English,USA,76,1204288
The Seventh Fire,2015,Documentary,Jack Pettibone Riccobono,Jack Pettibone Riccobono,unknown,English,USA,76,27120
Sur le chemin de l'ecole,2013,Documentary,Pascal Plisson,Marie-Claire Javoy,Jackson Saikong,French,France,77,7307
The Hero of Color City,2014,Animation,Frank Gladstone,Jess Kedward ,Elizabeth Daily,English,USA,77,32048
Do I Sound Gay?,2014,Documentary,David Thorpe,David Thorpe,Michael Airington,English,USA,77,87742
Yalom's Cure,2014,Documentary,Sabine Gisiger,Sabine Gisiger,Irvin D. Yalom,English,Switzerland,77,684
Zombeavers,2014,Comedy,Jordan Rubin,Al Kaplan ,Rachel Melvin,English,USA,77,14947
I Am,2010,Documentary,Tom Shadyac,unknown,Ray Anderson,English,USA,78,1570251
The Freebie,2010,Comedy,Katie Aselton,Katie Aselton,Katie Aselton,English,USA,78,4500
Girl Model,2011,Documentary,David Redmon,unknown,Ashley Arbaugh,English,USA,78,21154
Gregory Crewdson: Brief Encounters,2012,Documentary,Ben Shapiro,unknown,Costanza Theodoli Braschi,English,USA,78,58978
Death by China,2012,Documentary,Peter Navarro,Peter Navarro,Martin Sheen,English,USA,78,37412
Chimpanzee,2012,Documentary,Alastair Fothergill,Alastair Fothergill ,Tim Allen,English,Tanzania,78,28965459
Teenage,2013,Documentary,Matt Wolf,Jon Savage ,Jena Malone,English,USA,78,19507
Alive Inside,2014,Documentary,Michael Rossato-Bennett,Michael Rossato-Bennett,Dan Cohen,English,USA,78,150197
Meet the Mormons,2014,Documentary,Blair Treu,unknown,Jermaine Sullivan,English,USA,78,5833665
The Pirate Fairy,2014,Animation,Peggy Holmes,Jeffrey M. Howard ,Mae Whitman,English,USA,78,5545809
Speed Sisters,2015,Documentary,Amber Fares,unknown,unknown,Arabic,Palestine,78,2753
Babies,2010,Documentary,Thomas Balmes,Alain Chabat ,Bayar,English,France,79,6500000
Inventing Our Life: The Kibbutz Experiment,2010,Documentary,Toby Perl Freilich,Toby Perl Freilich,unknown,English,USA,79,14413
Peep World,2010,Comedy,Barry W. Blaustein,Peter Himmelstein,Lewis Black,English,USA,79,10908
The Day He Arrives,2011,Drama,Sang-soo Hong,Sang-soo Hong,Joon-Sang Yoo,Korean,South Korea,79,3311
You've Been Trumped,2011,Documentary,Anthony Baxter,Richard Phinney,Anthony Baxter,English,UK,79,28450
The Pruitt-Igoe Myth,2011,Documentary,Chad Freidrichs,Chad Freidrichs ,Slyvester Brown,English,USA,79,44683
Nature Calls,2012,Comedy,Todd Rohal,Todd Rohal ,Maura Tierney,English,USA,79,382
Terms and Conditions May Apply,2013,Documentary,Cullen Hoback,unknown,Cullen Hoback,English,USA,79,55594
Saving Christmas,2014,Comedy,Darren Doane,Darren Doane,Kirk Cameron,English,USA,79,2778297
Saving Christmas,2014,Comedy,Darren Doane,Darren Doane,Kirk Cameron,English,USA,79,2778297
The Overnight,2015,Comedy,Patrick Brice,Patrick Brice,Adam Scott,English,USA,79,1109808
Wendy and Lucy,2008,Drama,Kelly Reichardt,Jonathan Raymond ,Michelle Williams,English,USA,80,700720
Anvil: The Story of Anvil,2008,Documentary,Sacha Gervasi,unknown,Scott Ian,English,Canada,80,492513
Stonewall Uprising,2010,Documentary,Kate Davis,David Carter ,Paul Bosche,English,USA,80,127940
8: The Mormon Proposition,2010,Documentary,Reed Cowan,Reed Cowan,Spencer Jones,English,USA,80,99851
Yogi Bear,2010,Animation,Eric Brevig,J.R. Ventimilia,Dan Aykroyd,English,USA,80,100169068
Devil,2010,Horror,John Erick Dowdle,Brian Nelson ,Chris Messina,English,USA,80,33583175
Devil,2010,Horror,John Erick Dowdle,Brian Nelson ,Chris Messina,English,USA,80,33583175
Union Square,2011,Drama,Nancy Savoca,Nancy Savoca ,Mira Sorvino,English,USA,80,44830
Being Elmo: A Puppeteer's Journey,2011,Documentary,Constance Marks,Philip Shane,Whoopi Goldberg,English,USA,80,302652
Restless City,2011,Drama,Andrew Dosunmu,Eugene M. Gussenhoven,Osas Ighodaro Ajibade,English,USA,80,8106
Tonight You're Mine,2011,Comedy,David Mackenzie,Thomas Leveritt ,Rebecca Benson,English,UK,80,5086
Apartment 143,2011,Horror,Carles Torrens,Rodrigo Cortes,Francesc Garrido,English,Spain,80,256
Carnage,2011,Comedy,Roman Polanski,Yasmina Reza ,Jodie Foster,English,France,80,2200000
Filly Brown,2012,Drama,Youssef Delara,Youssef Delara,Gina Rodriguez,English,USA,80,2818020
[REC] 3: Genesis,2012,Horror,Paco Plaza,Luiso Berdejo ,Leticia Dolera,Spanish,Spain,80,6921
Ernest & Celestine,2012,Animation,Stephane Aubier,Daniel Pennac ,Forest Whitaker,French,France,80,71442
Tim's Vermeer,2013,Documentary,Teller,Penn Jillette,Tim Jenison,English,USA,80,1670806
Boy and the World,2013,Animation,Ale Abreu,Ale Abreu,Vinicius Garcia,Portuguese,Brazil,80,47618
Moomins on the Riviera,2014,Animation,Xavier Picard,Leslie Stewart ,Maria Sid,Finnish,Finland,80,169190
Top Spin,2014,Documentary,Sara Newens,unknown,Ariel Hsing,English,USA,80,5858
Space Chimps,2008,Animation,Kirk DeMicco,Kirk DeMicco ,Andy Samberg,English,USA,81,29942542
Turtle: The Incredible Journey,2009,Documentary,Nick Stringer,Melanie Finn,Miranda Richardson,English,UK,81,39194200
Bruno,2009,Comedy,Larry Charles,Sacha Baron Cohen ,Sacha Baron Cohen,English,USA,81,59992760
Douchebag,2010,Comedy,Drake Doremus,Andrew Dickler,Andrew Dickler,English,USA,81,18117
Jonah Hex,2010,Action,Jimmy Hayward,Mark Neveldine ,Josh Brolin,English,USA,81,10500000
The Sitter,2011,Comedy,David Gordon Green,Brian Gatewood,Jonah Hill,English,USA,81,30200000
Jiro Dreams of Sushi,2011,Documentary,David Gelb,unknown,Jiro Ono,Japanese,USA,81,200000
American Teacher,2011,Documentary,Vanessa Roth,unknown,Erik Benner,English,USA,81,32280
Smashed,2012,Drama,James Ponsoldt,Susan Burke,Mary Elizabeth Winstead,English,USA,81,375981
Sleepwalk with Me,2012,Comedy,Mike Birbiglia,Mike Birbiglia ,Mike Birbiglia,English,USA,81,2263436
Gimme the Loot,2012,Comedy,Adam Leon,Adam Leon,Tashiana Washington,English,USA,81,97768
Big Sur,2013,Drama,Michael Polish,Michael Polish ,Jean-Marc Barr,English,USA,81,35927
The Punk Singer,2013,Documentary,Sini Anderson,unknown,Kathleen Hanna,English,USA,81,121418
Elaine Stritch: Shoot Me,2013,Documentary,Chiemi Karasawa,unknown,Alec Baldwin,English,USA,81,301724
Two-Bit Waltz,2014,Comedy,Clara Mamet,Clara Mamet,Clara Mamet,English,USA,81,2051
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,Comedy,Miguel Arteta,Rob Lieber ,Steve Carell,English,USA,81,56752482
Monkey Kingdom,2015,Documentary,Mark Linfield,Mark Linfield,Tina Fey,English,USA,81,11360669
The Uncondemned,2015,Documentary,Nick Louvel,Michele Mitchell,Pierre-Richard Prosper,English,USA,81,13295
The Haunting of Molly Hartley,2008,Drama,Mickey Liddell,John Travis,Haley Bennett,English,USA,82,13350177
Guy and Madeline on a Park Bench,2009,Drama,Damien Chazelle,Damien Chazelle,Jason Palmer,English,USA,82,33793
The Final Destination,2009,Horror,David R. Ellis,Eric Bress,Bobby Campo,English,USA,82,66436248
Cats & Dogs: The Revenge of Kitty Galore,2010,Action,Brad Peyton,Ron J. Friedman,James Marsden,English,USA,82,43400000
Rubber,2010,Comedy,Quentin Dupieux,Quentin Dupieux,Stephen Spinella,English,France,82,100000
